Function, Algorithm, Dimensions, Fitness
Rosenbrock, GA-PSO, 10, 6.35274E-06
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.009232873
Rosenbrock, GA-PSO, 40, 0.631423316
Rosenbrock, GA-PSO, 2, 9.89208E-09
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 9.54359E-05
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.009532216
Rosenbrock, GA-PSO, 40, 0.811002481
Rosenbrock, GA-PSO, 2, 6.09154E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 0.001737515
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.009552592
Rosenbrock, GA-PSO, 40, 0.018538924
Rosenbrock, GA-PSO, 2, 1.16156E-10
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 3.62472E-07
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.005178264
Rosenbrock, GA-PSO, 40, 0.664184299
Rosenbrock, GA-PSO, 2, 5.30942E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 4.21004E-05
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.010914368
Rosenbrock, GA-PSO, 40, 0.080529832
Rosenbrock, GA-PSO, 2, 2.38604E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 1.22625E-06
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.019024006
Rosenbrock, GA-PSO, 40, 0.120822722
Rosenbrock, GA-PSO, 2, 4.73521E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 9.86883E-06
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.000533548
Rosenbrock, GA-PSO, 40, 0.324239501
Rosenbrock, GA-PSO, 2, 3.1988E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 0.000311509
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.001711257
Rosenbrock, GA-PSO, 40, 0.09615635
Rosenbrock, GA-PSO, 2, 3.38692E-11
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 0.000247008
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 0.000533548
Rosenbrock, GA-PSO, 40, 0.60662353
Rosenbrock, GA-PSO, 2, 2.7266E-13
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 4.22581E-07
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 2.31663E-05
Rosenbrock, GA-PSO, 40, 0.116311364
Rosenbrock, GA-PSO, 2, 3.10749E-09
Rosenbrock, GA-PSO, 3, 
Rosenbrock, GA-PSO, 10, 2.68366E-06
Rosenbrock, GA-PSO, 5, 
Rosenbrock, GA-PSO, 20, 2.31663E-05
Rosenbrock, GA-PSO, 40, 0.369110112
